Class,Element,Namespace,Mandatory,Cardinality,Definition,Rules or notes,"Example (King County Report Card Enrollment, 2021)"
Distribution,dcat:accessService,data portal URL,No,String(URL),A data service that gives access to the distribution of the dataset,,<dcat:accessService>https://data.wa.gov/browse?category=Education&tags=reportcard&sortBy=alpha&utf8=%E2%9C%93</dcat:accessService>
Data Service,dcat:endpointURL,endpoint URL,No,"JSON, CSV","""The root location or primary endpoint of the service (a Web-resolvable IRI)"" W3C, 2020",,<dcat:endpointURL>https://data.wa.gov/resource/nvpc-yr7b.json</dcat:endpointURL>
Data Service,dcat:servesDataset,related to,No,String(URL) ,"""A collection of data that this data service can distribute.""","Since this repository is concerned primarily with gov data and attains multiple datasets from the same hosts, this field is helpful for user search and resource sharing. ",<dcat:servesDataset>https://www.k12.wa.us/data-reporting/data-portal?combine=report%20card%20enrollment</dcat:servesDataset>
Distribution,dcat:accessURL,access link,Yes,String(URL),"""A URL of the resource that gives access to a distribution of the dataset. E.g. landing page, feed, SPARQL endpoint""","dcat:downloadURL should be used if there is a direct link to the dataset, but dcat:accessURL must be used as well. Some portals have data viewers, which could be preferable to users depending on their available technology and related literacy",<dcat:accessURL>https://data.wa.gov/education/Report-Card-Enrollment-2020-21-School-Year/nvpc-yr7b</dcat:accessURL>
Distribution,dcat:downloadURL,download URL,Yes,"JSON, CSV","""The URL of the downloadable file in a given format. E.g. CSV file or RDF file. The format is indicated by the distribution's dct:format and/or dcat:mediaType""",,<dcat:downloadURL>https://data.wa.gov/api/views/nvpc-yr7b/rows.csv?accessType=DOWNLOAD</dcat:downloadURL>
Distribution,dcat:title,title,Yes,Boolean,"""A name given to the distribution""",,<dcat:title>KC_Report_Card_Enrollment_2020-21_School_Year.csv</dcat:title>
Distribution,dct:license,license,Yes,Unrestricted,"""A legal document under which the distribution is made available.""",Repository only utilizes open license and freely distributed data,<dcat:license>https://creativecommons.org/licenses/by/4.0/legalcode</dcat:license>
Distribution,dct:accessRights,access rights,Yes,Unrestricted,"""A rights statement that concerns how the distribution is accessed.""",Repository only utilizes open license and freely distributed data,<dcat:accessRights>PublicUse</dcat:accessRights>
Cataloged Resource,dct:publisher,publisher,Yes,Boolean,"""The entity responsible for making the item available""",,<dcat:publisher>OSPI Student Information</dcat:publisher>
Distribution,dct:description,description,Yes,Boolean,"""A free-text account of the distribution""",,"<dcat:description>The King County Report Card is an annual dataset released by the Washington Office of Superintendent of Public Instruction. The data collects enrollment and demographic data on students at the beginning of the school year. Many types of schools participate including: public, charter, private, tribal, Board of Indian Education (BIE) controlled, special education, and magnet. The report card also includes demographic data relating to gender, race and ethnicity, ELL status, housing status, income, foster care status, 504 plans, absenteeism, disability, migrancy, and military families. Data is collected for the whole state, but this dataset is organized specifically for the school districts in King County; including Fife school district that is in multiple counties; and is organized for the 2018-19, 2019-20, and 2020-21 school years</dcat:description>"
Distribution,dct:issued,issued,Yes,!SO 8601,"""Date of formal issuance (e.g., publication) of the distribution""",,<dct:issued>2021-01-15</dct:issued>
Cataloged Resource,dct:modified,modified,No,ISO 8601,"""Most recent date on which the item was changed, updated or modified.""","Only include if the data were actually modified and not ""updated"" as a result of regular auditing or quality checks",<dct:modified>2022-05-10</dct:modified>
Distribution,dct:format,format,Yes,"CSV, JSON",The file format of the distribution,,<dct:format>CSV</dct:format>
Cataloged Resource,dcat:keyword,keyword,Yes,Boolean,"""A keyword or tag describing the resource.""",,"<dcat:keyword>education, student demographics, enrollment</dcat:keyword>"
Cataloged Resource,dct:isReferencedBy,referenced by,No,Unrestricted,"""A related resource, such as a publication, that references, cites, or otherwise points to the cataloged resource.""",Agencies publish reports and summaries of data within the repository,<dct:isReferencedBy>https://www.k12.wa.us/sites/default/files/public/homelessed/pubdocs/2021%20Updates%20Proviso%20Report.pdf</dct:isReferencedBy>
,,,,,,,
,,,,,,,